DATE,TITLE,SOURCE,Company,Sentiment,Positive,Negative,Neutral
2023-01-09 08:00:00,Vodafone sells Hungary business for €1.7 bn in cash - Telecom Lead,Telecom Lead,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Prasar Bharati planning to launch OTT platform? - Exchange4Media,Exchange4Media,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,PS5 bundle with two DualSense controllers reportedly launching soon - 91mobiles,91mobiles,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Bharti Airtel outperforms market on strong trading day - MarketWatch,MarketWatch,Bharti airtel limited ,0.5106,0.268,0.0,0.732
2023-01-09 08:00:00,Re-KYC for Bank Account: Is it mandatory? What RBI says - The Financial Express,The Financial Express,Vodafone Idea,0.0772,0.091,0.0,0.909
2023-01-09 08:00:00,Cash-strapped Vodafone Idea reportedly seeks emergency $850 ... - Telecoms.com,Telecoms.com,Vodafone Idea,-0.3818,0.0,0.224,0.776
2023-01-09 08:00:00,"Vodafone Idea hits lowest level since September 2021, down 6% in firm mkt - Business Standard",Business Standard,Vodafone Idea,-0.3818,0.0,0.148,0.852
2023-01-09 08:00:00,"Sensex gains 300 points, Nifty above 17950; IDBI Bank rises 4% - Economic Times",Economic Times,Vodafone Idea,0.6249,0.298,0.0,0.702
2023-01-09 08:00:00,Wall Street sparks global rally in stocks after US jobs report - CNBCTV18,CNBCTV18,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Bhagwati Products: Bhagwati in advance talks with two Chinese ... - ETTelecom,ETTelecom,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Rupee gains 33 paise to 82.33 against US dollar in early trade today - Business Standard,Business Standard,Vodafone Idea,0.34,0.138,0.0,0.862
2023-01-09 08:00:00,TikTok tests sleep reminders feature to allow bedtime alerts for users - Business Standard,Business Standard,Vodafone Idea,0.2263,0.128,0.0,0.872
2023-01-09 08:00:00,Zee Ent. shares down 0.34% as Nifty gains - Economic Times,Economic Times,Bharti airtel limited ,0.743,0.477,0.0,0.523
2023-01-09 08:00:00,How cereals helped Modi-govt cut inequality in India - Economic Times,Economic Times,Bharti airtel limited ,-0.2732,0.0,0.174,0.826
2023-01-09 08:00:00,Vijay Sethupathi’s new film to release on 3 February | Mint - Mint,Mint,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,bsf: Punjab: BSF spots Pakistani drone at Gurdaspur border; 74 ... - The Economic Times,The Economic Times,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Top Eight Listed Firms Lose Rs 1 lakh Crore Last Week, Led By Infosys, HDFC Bank, TCS - BQ Prime",BQ Prime,Bharti airtel limited ,-0.2263,0.08,0.12,0.8
2023-01-09 08:00:00,Rupee at 1-month high as U.S. data stokes smaller Fed hike hopes | Mint - Mint,Mint,Bharti airtel limited ,0.4215,0.157,0.0,0.843
2023-01-09 08:00:00,"‘Tunisha Sharma was still breathing, Sheezan Khan took her to far away hospital’: Actor’s mother - The Indian Express",The Indian Express,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Vodafone-Idea users, no the company has not yet started 5G rollout in Delhi - Times of India",Times of India,Reliance jio,-0.296,0.0,0.121,0.879
2023-01-09 08:00:00,3 Things About Verizon Communications That Smart Investors Know - The Motley Fool,The Motley Fool,Verizon Communications,-0.0516,0.163,0.175,0.663
2023-01-09 08:00:00,"Airtel has Reached 25 Cities with 5G Plus, Here’s the List - TelecomTalk",TelecomTalk,Bharti airtel limited ,0.1027,0.104,0.0,0.896
2023-01-09 08:00:00,"Pakistan vs New Zealand 1st ODI Live Streaming: When, Where to Watch Cricket Match Online, TV, Mobile - HT Tech",HT Tech,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,1&1 Launches 5G FWA Home Broadband Service - TelecomTalk,TelecomTalk,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Connect Broadband Affordable Plans with Multiple OTT Benefits - TelecomTalk,TelecomTalk,Reliance jio,0.3818,0.224,0.0,0.776
2023-01-09 08:00:00,[Exclusive] Samsung Galaxy A14 5G price in India revealed ahead of January 18th launch - 91mobiles,91mobiles,Reliance jio,0.128,0.091,0.0,0.909
2023-01-09 08:00:00,Kashmir's renowned poet Rehman Rahi dies at 98 - The Kashmir Walla,The Kashmir Walla,Reliance jio,0.0,0.0,0.0,1.0
